time,totalNewCases,totalNewTests,undergradCases,undergradTests,gradCases,gradTests,facStaffCases,facStaffTests
 Aug-17-2020,26,8401,17,2883,3,1939,5,3412
 Aug-18-2020,21,6135,18,2712,1,1240,2,2060
 Aug-19-2020,30,6273,26,4023,2,1006,2,1159
 Aug-20-2020,56,10709,50,5579,2,1809,2,3134
 Aug-21-2020,57,10843,49,5936,4,2051,3,2683
 Aug-22-2020,44,3303,44,2791,0,331,0,153
 Aug-23-2020,53,4464,53,3870,0,425,0,145
 Aug-24-2020,83,17592,76,6965,4,4802,3,5546
 Aug-25-2020,89,14838,88,11605,1,1386,0,1688
 Aug-26-2020,54,6345,52,4348,0,968,1,926
 Aug-27-2020,47,14536,39,4893,3,4295,5,5112
 Aug-28-2020,63,13227,61,10190,0,1283,2,1598
 Aug-29-2020,49,2711,45,1905,2,419,0,340
 Aug-30-2020,104,3465,101,2637,1,466,1,328
 Aug-31-2020,231,17030,224,7187,2,4287,3,5293
 Sep-1-2020,197,13951,193,10542,1,1396,1,1844
 Sep-2-2020,120,6411,118,4415,2,942,0,950
 Sep-3-2020,87,14245,79,5823,4,3677,2,4519
 Sep-4-2020,102,13551,95,9600,1,1603,6,2168
 Sep-5-2020,33,2409,30,1585,2,408,1,367
 Sep-6-2020,34,2964,33,1711,1,578,0,629
 Sep-7-2020,60,6233,56,3175,1,1482,3,1495
 Sep-8-2020,76,10818,70,9544,1,496,3,653
 Sep-9-2020,44,11950,40,5405,1,2455,3,3821
 Sep-10-2020,34,6611,30,4267,1,941,2,1297
 Sep-11-2020,35,11211,33,9088,1,847,1,1132
 Sep-12-2020,9,4003,9,2096,0,825,0,999
 Sep-13-2020,17,4710,13,2513,2,1162,1,952
 Sep-14-2020,40,10171,32,6982,1,1489,5,1531
 Sep-15-2020,47,11222,43,9008,1,892,1,1156
 Sep-16-2020,23,9937,22,4418,0,1852,1,3485
 Sep-17-2020,17,7786,16,5375,0,918,1,1342
 Sep-18-2020,27,10354,23,8287,0,835,4,1099
 Sep-19-2020,12,3784,9,2061,2,784,1,853
 Sep-20-2020,11,4552,9,2515,0,1044,2,920
 Sep-21-2020,42,10369,39,7059,1,1556,2,1607
 Sep-22-2020,62,11095,57,8902,1,843,3,1184
 Sep-23-2020,29,9648,25,4255,1,1779,3,3392
 Sep-24-2020,27,9106,27,6283,0,1282,0,1397
 Sep-25-2020,41,10870,40,8606,0,1060,1,1046
 Sep-26-2020,17,3887,17,2141,0,775,0,899
 Sep-27-2020,28,4588,26,2515,0,1106,2,890
 Sep-28-2020,36,10723,35,7451,0,1534,0,1577
 Sep-29-2020,37,10618,34,8443,1,885,1,1146
 Sep-30-2020,32,10341,31,4925,0,1848,1,3371
 Oct-1-2020,27,7587,26,5199,1,916,0,1336
 Oct-2-2020,18,10741,16,8302,0,981,1,1297
 Oct-3-2020,9,3848,6,2045,0,780,3,943
 Oct-4-2020,7,4372,6,2275,1,1033,0,969
 Oct-5-2020,48,11116,39,7765,4,1565,5,1613
 Oct-6-2020,25,10314,21,7955,1,947,3,1258
 Oct-7-2020,21,9753,14,4343,1,1821,6,3374
 Oct-8-2020,14,7947,12,5426,0,983,2,1389
 Oct-9-2020,10,9682,8,7325,0,925,1,1260
